time=2025-07-29T14:55:57.229+02:00 level=INFO msg="Server starting" time=2025-07-29T14:55:57+02:00
time=2025-07-29T14:55:57.238+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-29T14:55:57.238+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-29T14:55:57.352+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-29T14:55:57.755+02:00 level=INFO msg="[LUTRON] Lutron routine started"
time=2025-07-29T14:55:57.755+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-29T14:55:57.755+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-29T14:55:57.755+02:00 level=INFO msg="[LUTRON] Read routine started"
time=2025-07-29T14:55:57.755+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-29T14:55:57.757+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-29T14:55:57.770+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-29T14:55:57.843+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/29 - 15:16:58 | 200 |      2.6252ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:17:08 | 200 |      9.1334ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:17:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:17:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:17:38 | 200 |      2.6417ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:17:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:17:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:18:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:18:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:18:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:18:38 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:18:48 | 200 |       522.2µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:18:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:19:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:19:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:19:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:19:38 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:19:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:19:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:20:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:20:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:20:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:20:38 | 200 |       549.6µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:20:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:20:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:21:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:21:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:21:28 | 200 |       518.2µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:21:38 | 200 |         9.7ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:21:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:21:58 | 200 |      2.4239ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:22:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:22:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:22:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:22:38 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:22:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:22:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:23:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:23:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:23:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:23:38 | 200 |      3.5608ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:23:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:23:58 | 200 |       848.3µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:24:08 | 200 |      4.7589ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:24:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:24:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:24:38 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:24:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:24:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:25:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:25:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:25:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:25:38 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:25:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:25:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:26:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:26:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:26:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:26:38 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:26:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:26:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:27:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:27:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:27:28 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:27:38 | 200 |      2.1779ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:27:48 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:27:58 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:28:08 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:28:18 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:28:28 | 200 |      5.7523ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:28:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:28:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:28:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:29:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:29:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:29:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:29:39 | 200 |      2.5652ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:29:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:29:59 | 200 |       504.2µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:30:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:30:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/29 - 15:30:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
