time=2025-07-09T13:52:50.216+02:00 level=INFO msg="Server starting" time=2025-07-09T13:52:50+02:00
time=2025-07-09T13:52:50.216+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-09T13:52:50.216+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-09T13:52:50.316+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-09T13:52:55.216+02:00 level=ERROR msg="[SERVER] Failed to start Lutron routine" error="failed to connect to Lutron system: dial tcp 172.31.105.236:23: i/o timeout"
time=2025-07-09T13:52:55.217+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-09T13:52:55.219+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-09T13:52:55.220+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-09T13:52:55.220+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-09T13:52:55.234+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-09T13:52:55.267+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
[GIN] 2025/07/09 - 14:07:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:07:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:07:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:07:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:07:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:07:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:08:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:08:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:08:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:08:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:08:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:08:59 | 200 |      1.7983ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:09:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:09:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:09:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:09:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:09:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:09:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:10:09 | 200 |      1.0915ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:10:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:10:29 | 200 |       541.9µs |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:10:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:10:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:10:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:11:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:11:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:11:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:11:39 | 200 |       1.032ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:11:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:11:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:12:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:12:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:12:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:12:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:12:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:12:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:13:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:13:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:13:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:13:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:13:49 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:13:59 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:14:09 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:14:19 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:14:29 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/09 - 14:14:39 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
