time=2025-07-01T10:20:42.633+02:00 level=INFO msg="Server starting" time=2025-07-01T10:20:42+02:00
time=2025-07-01T10:20:42.633+02:00 level=INFO msg="[SERVER] Loaded config."
time=2025-07-01T10:20:42.633+02:00 level=INFO msg="[LUTRON] Lutron cache initialized"
time=2025-07-01T10:20:42.733+02:00 level=INFO msg=[WEBSOCKET] "connection established"=true
time=2025-07-01T10:20:47.633+02:00 level=ERROR msg="[SERVER] Failed to start Lutron routine" error="failed to connect to Lutron system: dial tcp 172.31.102.235:23: i/o timeout"
time=2025-07-01T10:20:47.634+02:00 level=INFO msg="[BACNET] Bacnet cache initialized"
time=2025-07-01T10:20:47.636+02:00 level=INFO msg="[BACNET] Bacnet routine started"
time=2025-07-01T10:20:47.636+02:00 level=INFO msg="[CYVIZ] Initialized Cyviz Cache"
time=2025-07-01T10:20:47.636+02:00 level=INFO msg="[BACNET] Read routine started"
time=2025-07-01T10:20:47.645+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=4 ip=10.10.100.1:15555
time=2025-07-01T10:20:47.645+02:00 level=INFO msg="[CYVIZ] Read routine started" roomId=4
time=2025-07-01T10:20:47.654+02:00 level=INFO msg="[CYVIZ] Cyviz routine started" roomId=3 ip=10.10.100.2:15555
time=2025-07-01T10:20:47.654+02:00 level=INFO msg="[CYVIZ] Read routine started" roomId=3
[GIN] 2025/07/01 - 10:45:30 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:45:40 | 200 |       2.088ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:45:50 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:46:00 | 200 |      4.1596ms |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:46:10 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:46:20 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:46:30 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:46:40 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:46:50 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:47:00 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:47:10 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:47:20 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:47:30 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
[GIN] 2025/07/01 - 10:47:40 | 200 |            0s |             ::1 | GET      "/bacnet/info?roomId=4"
